date,spread_d10_d1,n_assets,deciles_present
2015-05-01,0.024906030627957286,1764,10
2015-06-01,0.011389662820622488,1778,10
2015-07-01,-0.0014278996660349764,1787,10
2015-08-01,-0.06259120061403936,1791,10
2015-09-01,-0.022692291048758334,1798,10
2015-10-01,0.014407120225157388,1803,10
2015-11-01,-0.0003790307418181267,1808,10
2015-12-01,-0.09520582972640967,1809,10
2016-01-01,-0.02234489947111412,1809,10
2016-02-01,0.06273380848168181,1810,10
2016-03-01,0.0869486124925144,1814,10
2016-04-01,-0.04089486819448817,1819,10
2016-05-01,0.06553955783784021,1825,10
2016-06-01,0.04168029721994323,1828,10
2016-07-01,-0.012189251027105255,1832,10
2016-08-01,0.033807244470460365,1836,10
2016-09-01,-0.0294436704874991,1843,10
2016-10-01,0.023941033084398315,1852,10
2016-11-01,-0.008241678066381227,1859,10
2016-12-01,0.046752479146543575,1860,10
2017-01-01,-0.020028046101390994,1864,10
2017-02-01,-0.002205267797043047,1868,10
2017-03-01,-0.03496061697218536,1873,10
2017-04-01,-0.027323646147589233,1883,10
2017-05-01,0.015078320373652117,1891,10
2017-06-01,0.021164845625222344,1895,10
2017-07-01,0.036857986433149345,1898,10
2017-08-01,0.038963796545950585,1898,10
2017-09-01,-0.005371095277241211,1902,10
2017-10-01,0.045557428475170816,1910,10
2017-11-01,0.035925524965000045,1918,10
2017-12-01,0.04533843692682008,1920,10
2018-01-01,0.018479300337382338,1927,10
2018-02-01,0.04698002946693649,1935,10
2018-03-01,0.01769152132737002,1942,10
2018-04-01,0.0990532405329861,1950,10
2018-05-01,-0.02628781797487327,1960,10
2018-06-01,-0.024578655961054317,1965,10
2018-07-01,0.09077061061712899,1974,10
2018-08-01,0.011362937549652057,1978,10
2018-09-01,-0.07658788271079423,1982,10
2018-10-01,-0.03319050334968665,1991,10
2018-11-01,-0.045294278846913935,1994,10
2018-12-01,0.042714747514334295,1998,10
2019-01-01,0.041751890285890686,1999,10
2019-02-01,0.011749281160850392,2000,10
2019-03-01,0.005537942509162567,2008,10
2019-04-01,0.023028977988310224,2015,10
2019-05-01,0.0277076130066714,2024,10
2019-06-01,-0.012978770703181692,2035,10
2019-07-01,0.019200790284211747,2044,10
2019-08-01,-0.03680531966132315,2046,10
2019-09-01,0.00729615958085026,2052,10
2019-10-01,0.026662373023388475,2061,10
2019-11-01,0.045514447567148016,2064,10
2019-12-01,0.08487978569434905,2067,10
2020-01-01,0.011199401176184946,2071,10
2020-02-01,-0.1600301120264421,2074,10
2020-03-01,0.41356676365608946,2079,10
2020-04-01,0.041109074627569776,2083,10
2020-05-01,0.03435926375650805,2085,10
2020-06-01,0.018422125071334793,2096,10
2020-07-01,0.01576837680637471,2107,10
2020-08-01,-0.015018826413767793,2118,10
2020-09-01,-0.002507518972606472,2136,10
2020-10-01,1.587208374798165,2153,10
2020-11-01,0.05269025434308194,2166,10
2020-12-01,0.25158304107254625,2181,10
2021-01-01,0.019210484860942012,2196,10
2021-02-01,-0.12305645290440939,2206,10
2021-03-01,-0.05132546824473221,2221,10
2021-04-01,0.01666100081414472,2239,10
2021-05-01,0.07567608517349024,2253,10
2021-06-01,-0.10618310110430906,2279,10
2021-07-01,0.023715256214639883,2296,10
2021-08-01,0.0664829781737804,2297,10
2021-09-01,0.010819465944043524,2314,10
2021-10-01,-0.06693719250852415,2325,10
2021-11-01,-0.08385877437610499,2334,10
2021-12-01,-0.1554565402292792,2338,10
2022-01-01,-0.03336867346649409,2342,10
2022-02-01,0.02455815799581075,2344,10
2022-03-01,-0.12138766093050594,2347,10
2022-04-01,-0.10538535620060621,2352,10
2022-05-01,-0.03634838861100224,2354,10
2022-06-01,0.1242064736469518,2357,10
2022-07-01,0.07096807966595942,2358,10
2022-08-01,-0.04724086198233977,2362,10
2022-09-01,-0.02917255079935259,2366,10
2022-10-01,0.02164269001628296,2369,10
2022-11-01,-0.035035776256231346,2372,10
2022-12-01,0.19891202870651664,2375,10
2023-01-01,-0.03839174614944675,2376,10
2023-02-01,0.03776216309370839,2380,10
2023-03-01,-0.0225182694766382,2382,10
2023-04-01,0.12118993942283339,2383,10
2023-05-01,0.06424280249462584,2385,10
2023-06-01,0.059664516236328874,2394,10
2023-07-01,-0.07038454488014181,2398,10
2023-08-01,-0.07816821907831453,2402,10
2023-09-01,-0.0658833450075293,2406,10
2023-10-01,0.09698041916489794,2413,10
2023-11-01,0.08969538990064857,2415,10
2023-12-01,-0.0390187219100843,2417,10
2024-01-01,0.11132713926601778,2424,10
2024-02-01,-0.04594172519500474,2428,10
2024-03-01,-0.06449682622682124,2432,10
2024-04-01,0.04750287259071728,2439,10
2024-05-01,0.012202883564937803,2445,10
2024-06-01,0.02072601474675701,2454,10
2024-07-01,0.0030876384595418345,2462,10
2024-08-01,0.13488008336952564,2464,10
2024-09-01,0.08919161281503585,2470,10
2024-10-01,0.12406727017329372,2478,10
2024-11-01,0.0380789289916906,2480,10
2024-12-01,-0.01900589922085111,2484,10
2025-01-01,-0.049210867753247685,2491,10
2025-02-01,-0.06073429963722022,2500,10
2025-03-01,0.04888704543136468,2503,10
2025-04-01,0.23230455156392468,2505,10
2025-05-01,0.0906175285988336,2509,10
2025-06-01,0.16265402875479376,2521,10
2025-07-01,0.10274477740245708,2526,10
2025-08-01,0.1840512298135238,2531,10
2025-09-01,0.14257755201993716,2542,10
