asset_id,file,rows_daily,rows_monthly,date_min,date_max
AGNC,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGNC_combined.csv,4419,212,2008-05-15 00:00:00,2025-12-05 00:00:00
AGO,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGO_combined.csv,5441,261,2004-04-23 00:00:00,2025-12-05 00:00:00
AGX,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGX_combined.csv,7626,365,1995-08-18 00:00:00,2025-12-05 00:00:00
AGYS,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AGYS_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
AHCO,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AHCO_combined.csv,1891,92,2018-05-31 00:00:00,2025-12-05 00:00:00
AHL,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AHL_combined.csv,147,8,2025-05-08 00:00:00,2025-12-05 00:00:00
AHR,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AHR_combined.csv,460,23,2024-02-07 00:00:00,2025-12-05 00:00:00
AI,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AI_combined.csv,1254,61,2020-12-09 00:00:00,2025-12-05 00:00:00
AIG,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AIG_combined.csv,13346,444,1973-01-02 00:00:00,2025-12-05 00:00:00
AIN,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AIN_combined.csv,9620,444,1987-09-30 00:00:00,2025-12-05 00:00:00
AIR,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AIR_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
AIT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AIT_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
AIZ,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AIZ_combined.csv,5495,263,2004-02-05 00:00:00,2025-12-05 00:00:00
AJG,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AJG_combined.csv,10448,444,1984-06-20 00:00:00,2025-12-05 00:00:00
AKAM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AKAM_combined.csv,6566,315,1999-10-29 00:00:00,2025-12-05 00:00:00
AKR,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AKR_combined.csv,8189,392,1993-05-27 00:00:00,2025-12-05 00:00:00
AKRO,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AKRO_combined.csv,1626,79,2019-06-20 00:00:00,2025-12-05 00:00:00
AL,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AL_combined.csv,3681,177,2011-04-19 00:00:00,2025-12-05 00:00:00
ALAB,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALAB_combined.csv,431,22,2024-03-20 00:00:00,2025-12-05 00:00:00
ALB,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALB_combined.csv,8002,383,1994-02-22 00:00:00,2025-12-05 00:00:00
ALC,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALC_combined.csv,1676,81,2019-04-09 00:00:00,2025-12-05 00:00:00
ALE,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALE_combined.csv,13262,444,1973-05-03 00:00:00,2025-12-05 00:00:00
ALEX,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALEX_combined.csv,3390,163,2012-06-14 00:00:00,2025-12-05 00:00:00
ALG,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALG_combined.csv,8237,394,1993-03-19 00:00:00,2025-12-05 00:00:00
ALGM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALGM_combined.csv,1282,63,2020-10-29 00:00:00,2025-12-05 00:00:00
ALGN,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALGN_combined.csv,6251,300,2001-01-30 00:00:00,2025-12-05 00:00:00
ALGT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALGT_combined.csv,4778,229,2006-12-08 00:00:00,2025-12-05 00:00:00
ALH,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALH_combined.csv,41,3,2025-10-09 00:00:00,2025-12-05 00:00:00
ALHC,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALHC_combined.csv,1181,58,2021-03-26 00:00:00,2025-12-05 00:00:00
ALIT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALIT_combined.csv,1355,66,2020-07-17 00:00:00,2025-12-05 00:00:00
ALK,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALK_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
ALKS,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALKS_combined.csv,8662,414,1991-07-16 00:00:00,2025-12-05 00:00:00
ALKT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALKT_combined.csv,1169,57,2021-04-14 00:00:00,2025-12-05 00:00:00
ALL,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALL_combined.csv,8185,391,1993-06-03 00:00:00,2025-12-05 00:00:00
ALLE,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALLE_combined.csv,3031,146,2013-11-18 00:00:00,2025-12-05 00:00:00
ALLY,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALLY_combined.csv,2984,144,2014-01-28 00:00:00,2025-12-05 00:00:00
ALM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALM_combined.csv,3139,151,2013-06-17 00:00:00,2025-12-05 00:00:00
ALMS,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALMS_combined.csv,362,19,2024-06-28 00:00:00,2025-12-05 00:00:00
ALNY,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALNY_combined.csv,5415,259,2004-06-01 00:00:00,2025-12-05 00:00:00
ALRM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALRM_combined.csv,2628,127,2015-06-26 00:00:00,2025-12-05 00:00:00
ALSN,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALSN_combined.csv,3453,166,2012-03-15 00:00:00,2025-12-05 00:00:00
ALV,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALV_combined.csv,7199,345,1997-04-28 00:00:00,2025-12-05 00:00:00
ALVO,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALVO_combined.csv,872,43,2022-06-16 00:00:00,2025-12-05 00:00:00
ALX,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALX_combined.csv,13312,444,1973-02-21 00:00:00,2025-12-05 00:00:00
AM,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AM_combined.csv,2161,104,2017-05-04 00:00:00,2025-12-05 00:00:00
AMAT,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMAT_combined.csv,11526,444,1980-03-17 00:00:00,2025-12-05 00:00:00
AMBA,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMBA_combined.csv,3308,159,2012-10-10 00:00:00,2025-12-05 00:00:00
AMBP,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMBP_combined.csv,1090,53,2021-08-05 00:00:00,2025-12-05 00:00:00
