decile,target_value_spread_fwd_1m,date
6,0.015206465002901598,2013-08-01
7,0.00586515076615168,2013-08-01
8,0.01280485484486174,2013-08-01
9,0.011866988186931441,2013-08-01
10,0.053839760883798486,2013-08-01
1,-0.0032712541123164104,2013-09-01
2,0.003626395842108991,2013-09-01
3,0.002587095206660659,2013-09-01
4,0.004236006448055137,2013-09-01
5,0.0049995875387578975,2013-09-01
6,-0.001261238337351248,2013-09-01
7,0.00937544122069059,2013-09-01
8,0.0015839379611337768,2013-09-01
9,-0.0025101773635808487,2013-09-01
10,-0.03559535959632629,2013-09-01
1,-0.02254380712384249,2013-10-01
2,-0.013869212330262457,2013-10-01
3,-0.009403106700333907,2013-10-01
4,-0.0013168933947015082,2013-10-01
5,0.005775667236262712,2013-10-01
6,0.005103619866675825,2013-10-01
7,0.00462023991053069,2013-10-01
8,0.012786803420158066,2013-10-01
9,0.018344311857139407,2013-10-01
10,0.034675101944972364,2013-10-01
1,-0.006797039784519069,2013-11-01
2,-0.0047186790438572355,2013-11-01
3,0.00865388269697803,2013-11-01
4,-0.0027236579943879517,2013-11-01
5,0.006932491389793754,2013-11-01
6,0.006775680696991724,2013-11-01
7,0.006259476528387401,2013-11-01
8,0.015091400830491037,2013-11-01
9,0.02473367400690995,2013-11-01
10,0.0063735453383501695,2013-11-01
1,0.017800648715818834,2013-12-01
2,0.010662641183483158,2013-12-01
3,0.006522276613783853,2013-12-01
4,0.0030258648201050863,2013-12-01
5,-0.0019202850006658496,2013-12-01
6,0.003150454914562,2013-12-01
7,0.00931339088015894,2013-12-01
8,-3.9050572333308215e-05,2013-12-01
9,0.02182678403390163,2013-12-01
10,0.05926803381893146,2013-12-01
1,-0.02169676073293721,2014-01-01
2,-0.013794332055833683,2014-01-01
3,-0.0013153164430554222,2014-01-01
4,-0.006569724323250741,2014-01-01
5,0.015708722560275102,2014-01-01
6,0.01066337517086963,2014-01-01
7,0.0037368992713393214,2014-01-01
8,0.02077177901365269,2014-01-01
9,0.03209091605486283,2014-01-01
10,0.038165834025008366,2014-01-01
1,0.00767848523994141,2014-02-01
2,0.014588123296660153,2014-02-01
3,-0.004287218102715986,2014-02-01
4,0.007812448009423517,2014-02-01
5,0.02002988262387087,2014-02-01
6,0.003501298431272751,2014-02-01
7,-0.0031518962896871405,2014-02-01
8,-0.004524060178494424,2014-02-01
9,-0.011559847437722728,2014-02-01
10,-0.03245295898270789,2014-02-01
1,0.042506151178056895,2014-03-01
2,0.02273042344972271,2014-03-01
3,0.016378509201477383,2014-03-01
4,0.0007325177096108188,2014-03-01
5,0.000651124699836488,2014-03-01
6,-0.011061024886754091,2014-03-01
7,-0.014971873236055519,2014-03-01
8,-0.008829381374925145,2014-03-01
9,-0.03334294645352533,2014-03-01
10,-0.06762202777895243,2014-03-01
1,-0.0032362832224389765,2014-04-01
2,-0.0006530959085715529,2014-04-01
3,0.0029492200460327195,2014-04-01
4,-0.0015397366845444453,2014-04-01
5,1.8735942494855983e-05,2014-04-01
6,-0.00885896231006762,2014-04-01
7,0.009723916792723967,2014-04-01
8,0.006679438652717398,2014-04-01
9,-0.011418271184454277,2014-04-01
10,0.005836550654672472,2014-04-01
1,-0.013268782007452242,2014-05-01
2,-0.0017257111680094887,2014-05-01
3,-0.0018751219511974665,2014-05-01
4,-0.004502837292541394,2014-05-01
5,0.008470661036977073,2014-05-01
6,0.004399420088269733,2014-05-01
7,0.013265852628092037,2014-05-01
8,0.019627920653182668,2014-05-01
9,0.036179965765230165,2014-05-01
10,0.06722112981540566,2014-05-01
1,0.023346353442530676,2014-06-01
2,-0.0032607830787377483,2014-06-01
3,0.011991959337294422,2014-06-01
4,0.0017168017651347308,2014-06-01
5,-0.003343761892961689,2014-06-01
6,-0.010462379503897171,2014-06-01
7,-0.0180841925104146,2014-06-01
8,0.001388392349019758,2014-06-01
9,-0.004256708701919744,2014-06-01
10,-0.013966212454592022,2014-06-01
1,-0.007114489665699687,2014-07-01
2,-0.00597700919527595,2014-07-01
3,-0.0015748750221666575,2014-07-01
4,0.006939932408777566,2014-07-01
5,-0.0013718764807180003,2014-07-01
6,0.012961212439859166,2014-07-01
7,0.00714245795607743,2014-07-01
8,0.004708397140240955,2014-07-01
9,0.01957596278335239,2014-07-01
10,0.037609620209913756,2014-07-01
1,0.00896549734416268,2014-08-01
2,-0.001981577844343418,2014-08-01
3,0.007682498076249801,2014-08-01
4,-0.0021437027333558786,2014-08-01
5,-0.004041285172283061,2014-08-01
6,-6.754080503517493e-06,2014-08-01
7,-0.003593715191285173,2014-08-01
8,-0.005055082690810037,2014-08-01
9,-0.012556774274417475,2014-08-01
10,-0.00877742477563438,2014-08-01
1,-0.01875632914377793,2014-09-01
2,0.004645508513044469,2014-09-01
3,0.005450073070068647,2014-09-01
4,0.015750154976345937,2014-09-01
5,0.006284708307067857,2014-09-01
6,0.01799127445454179,2014-09-01
7,0.00541920976657932,2014-09-01
8,0.0046464751113920386,2014-09-01
9,-0.007747944939998133,2014-09-01
10,-0.04136807719067162,2014-09-01
1,-0.006034866060777647,2014-10-01
2,-0.003268712081330209,2014-10-01
3,0.00039376709853231826,2014-10-01
4,-0.002714747319873437,2014-10-01
5,0.000739013613684085,2014-10-01
6,0.0064000033404902025,2014-10-01
7,0.006494221554708406,2014-10-01
8,-0.0002721038085510468,2014-10-01
9,-0.0026788619435564112,2014-10-01
10,-0.01862904448691936,2014-10-01
1,-0.00993925843467378,2014-11-01
2,0.0035596162781439938,2014-11-01
3,0.00154459131509115,2014-11-01
4,0.006903987746076202,2014-11-01
